animal_id,timestamp,temperature,Fxa,Mya,Rza,Sxg,Lyg,Dzg
A001,2025-10-30 03:49:00,38.5,0.042,0.01,0.908,0.73,0.32,0.449
A001,2025-10-30 03:50:00,38.53,0.003,0.006,0.888,0.759,0.16,0.467
A001,2025-10-30 03:51:00,38.52,0.041,0.006,0.92,0.765,0.463,0.549
A001,2025-10-30 03:52:00,38.5,0.041,0.008,0.933,0.683,0.496,0.371
A001,2025-10-30 03:53:00,38.52,0.055,-0.022,0.953,0.673,0.341,0.525
A001,2025-10-30 03:54:00,38.47,0.066,0.005,0.889,0.755,0.415,0.356
A001,2025-10-30 03:55:00,38.43,-0.012,0.01,0.928,1.173,0.407,0.668
A001,2025-10-30 03:56:00,38.6,-0.0,0.021,0.829,0.667,0.415,0.519
A001,2025-10-30 03:57:00,38.5,0.037,0.012,0.924,0.735,0.492,0.312
A001,2025-10-30 03:58:00,38.57,0.023,0.009,0.915,0.44,0.425,0.253
A001,2025-10-30 03:59:00,38.49,0.104,-0.0,0.888,1.028,0.35,0.42
A001,2025-10-30 04:00:00,38.49,0.036,0.003,0.9,0.836,0.474,0.45
A001,2025-10-30 04:01:00,38.45,0.021,0.006,0.878,0.836,0.22,0.319
A001,2025-10-30 04:02:00,38.44,0.072,0.03,0.921,0.807,0.48,0.34
A001,2025-10-30 04:03:00,38.55,0.036,0.003,0.92,0.696,0.532,0.439
A001,2025-10-30 04:04:00,38.49,-0.006,0.011,0.898,1.117,0.503,0.641
A001,2025-10-30 04:05:00,38.43,0.072,-0.015,0.902,0.683,0.396,0.53
A001,2025-10-30 04:06:00,38.51,0.069,0.029,0.879,0.679,0.57,0.419
A001,2025-10-30 04:07:00,38.54,0.09,0.017,0.874,0.855,0.558,0.542
A001,2025-10-30 04:08:00,38.49,0.086,0.02,0.908,0.637,0.305,0.415
A001,2025-10-30 04:09:00,38.52,0.067,0.022,0.937,0.911,0.403,0.52
A001,2025-10-30 04:10:00,38.52,0.067,0.049,0.95,0.664,0.433,0.604
A001,2025-10-30 04:11:00,38.55,0.091,0.038,0.904,0.946,0.439,0.123
A001,2025-10-30 04:12:00,38.55,0.065,-0.014,0.892,0.902,0.4,0.738
A001,2025-10-30 04:13:00,38.48,0.083,-0.019,0.896,0.7,0.193,0.313
A001,2025-10-30 04:14:00,38.51,0.14,-0.02,0.865,0.859,0.396,0.443
A001,2025-10-30 04:15:00,38.4,0.069,-0.006,0.913,0.68,0.653,0.684
A001,2025-10-30 04:16:00,38.55,0.009,-0.005,0.907,1.219,0.432,0.397
A001,2025-10-30 04:17:00,38.52,0.042,-0.004,0.887,1.252,0.242,0.544
A001,2025-10-30 04:18:00,38.38,0.027,-0.033,0.886,1.128,0.526,0.257
A001,2025-10-30 04:19:00,38.48,0.024,0.034,0.877,1.007,0.5,0.399
A001,2025-10-30 04:20:00,38.41,0.017,0.02,0.899,0.916,0.367,0.599
A001,2025-10-30 04:21:00,38.57,0.017,0.009,0.828,0.88,0.306,0.682
A001,2025-10-30 04:22:00,38.59,0.047,0.018,0.923,0.616,0.448,0.545
A001,2025-10-30 04:23:00,38.47,-0.002,0.05,0.92,0.804,0.447,0.578
A001,2025-10-30 04:24:00,38.4,0.088,0.031,0.877,1.043,0.382,0.763
A001,2025-10-30 04:25:00,38.47,0.067,0.051,0.926,0.893,0.32,0.419
A001,2025-10-30 04:26:00,38.49,0.02,0.048,0.925,0.775,0.301,0.451
A001,2025-10-30 04:27:00,38.56,0.09,-0.005,0.891,0.631,0.674,0.548
A001,2025-10-30 04:28:00,38.53,0.101,0.011,0.909,0.549,0.446,0.57
A001,2025-10-30 04:29:00,38.6,0.034,0.0,0.878,0.802,0.464,0.288
A001,2025-10-30 04:30:00,38.4,0.088,-0.002,0.848,0.973,0.223,0.364
A001,2025-10-30 04:31:00,38.44,0.051,-0.001,0.875,0.631,0.179,0.676
A001,2025-10-30 04:32:00,38.49,0.036,0.002,0.925,0.87,0.287,0.395
A001,2025-10-30 04:33:00,38.5,0.074,0.041,0.916,0.892,0.532,0.484
A001,2025-10-30 04:34:00,38.57,0.045,-0.005,0.883,0.69,0.407,0.486
A001,2025-10-30 04:35:00,38.48,0.058,-0.004,0.869,0.75,0.521,0.733
A001,2025-10-30 04:36:00,38.49,0.067,-0.035,0.886,0.865,0.47,0.711
A001,2025-10-30 04:37:00,38.43,0.092,-0.013,0.887,0.669,0.289,0.394
A001,2025-10-30 04:38:00,38.6,0.084,-0.014,0.862,0.643,0.339,0.209
A001,2025-10-30 04:39:00,38.53,0.056,0.017,0.89,0.739,0.362,0.487
A001,2025-10-30 04:40:00,38.46,0.053,0.018,0.9,0.656,0.417,0.464
A001,2025-10-30 04:41:00,38.48,0.023,-0.022,0.849,1.01,0.4,0.585
A001,2025-10-30 04:42:00,38.43,0.08,-0.015,0.908,0.685,0.406,0.773
A001,2025-10-30 04:43:00,38.55,0.001,0.001,0.895,0.754,0.398,0.494
A001,2025-10-30 04:44:00,38.54,0.054,0.011,0.846,1.265,0.48,0.304
A001,2025-10-30 04:45:00,38.46,0.088,0.001,0.887,0.664,0.295,0.535
A001,2025-10-30 04:46:00,38.51,0.072,0.02,0.91,0.817,0.475,0.399
A001,2025-10-30 04:47:00,38.45,0.067,-0.012,0.937,0.923,0.249,0.355
A001,2025-10-30 04:48:00,38.52,0.092,0.008,0.912,0.345,0.631,0.457
A001,2025-10-30 04:49:00,38.46,0.048,-0.021,0.904,0.812,0.541,0.648
A001,2025-10-30 04:50:00,38.46,0.013,0.042,0.908,0.679,0.738,0.727
A001,2025-10-30 04:51:00,38.47,0.025,0.03,0.908,0.751,0.563,0.191
A001,2025-10-30 04:52:00,38.43,0.016,-0.004,0.901,1.284,0.195,0.647
A001,2025-10-30 04:53:00,38.55,0.097,0.028,0.889,0.804,0.218,0.206
A001,2025-10-30 04:54:00,38.58,0.074,-0.012,0.895,0.309,0.595,0.356
A001,2025-10-30 04:55:00,38.53,0.066,0.002,0.913,0.938,0.235,0.32
A001,2025-10-30 04:56:00,38.52,0.021,0.014,0.869,0.875,0.28,0.38
A001,2025-10-30 04:57:00,38.37,0.067,0.053,0.927,0.803,0.415,0.463
A001,2025-10-30 04:58:00,38.54,-0.006,0.003,0.915,0.709,0.303,0.177
A001,2025-10-30 04:59:00,38.42,0.028,-0.003,0.869,1.105,0.354,0.564
A001,2025-10-30 05:00:00,38.51,0.047,0.003,0.894,1.076,0.29,0.389
A001,2025-10-30 05:01:00,38.55,0.001,0.051,0.888,0.628,0.588,0.701
A001,2025-10-30 05:02:00,38.58,0.054,0.044,0.907,0.784,0.476,0.528
A001,2025-10-30 05:03:00,38.54,0.002,0.018,0.88,0.711,0.284,0.531
A001,2025-10-30 05:04:00,38.43,0.054,-0.016,0.883,1.001,0.169,0.65
A001,2025-10-30 05:05:00,38.44,0.03,0.039,0.874,1.252,0.32,0.335
A001,2025-10-30 05:06:00,38.48,0.04,0.008,0.902,0.756,0.24,0.363
A001,2025-10-30 05:07:00,38.43,0.048,0.046,0.9,1.148,0.233,0.517
A001,2025-10-30 05:08:00,38.52,0.096,0.008,0.953,1.102,0.462,0.551
A001,2025-10-30 05:09:00,38.44,0.058,0.004,0.88,0.581,0.337,0.487
A001,2025-10-30 05:10:00,38.46,0.088,0.001,0.896,1.159,0.677,0.225
A001,2025-10-30 05:11:00,38.58,0.049,0.033,0.894,0.509,0.546,0.48
A001,2025-10-30 05:12:00,38.43,0.062,0.02,0.948,1.181,0.206,0.516
A001,2025-10-30 05:13:00,38.43,0.052,-0.031,0.982,0.692,0.228,0.602
A001,2025-10-30 05:14:00,38.56,0.005,0.017,0.886,1.072,0.484,0.523
A001,2025-10-30 05:15:00,38.51,0.064,-0.014,0.897,0.589,0.382,0.291
A001,2025-10-30 05:16:00,38.56,0.056,0.006,0.825,0.583,0.399,0.515
A001,2025-10-30 05:17:00,38.6,0.053,0.02,0.963,0.869,0.289,0.388
A001,2025-10-30 05:18:00,38.47,0.077,-0.007,0.903,0.634,0.127,0.468
A001,2025-10-30 05:19:00,38.49,0.073,0.015,0.924,0.655,0.212,0.203
A001,2025-10-30 05:20:00,38.43,-0.022,0.014,0.852,0.553,0.217,0.502
A001,2025-10-30 05:21:00,38.53,0.043,0.042,0.903,0.681,0.14,0.625
A001,2025-10-30 05:22:00,38.53,0.046,0.006,0.89,0.581,0.489,0.6
A001,2025-10-30 05:23:00,38.48,0.03,-0.01,0.907,0.935,0.645,0.552
A001,2025-10-30 05:24:00,38.54,-0.005,0.05,0.886,0.7,0.255,0.511
A001,2025-10-30 05:25:00,38.56,0.085,0.005,0.847,0.881,0.265,0.366
A001,2025-10-30 05:26:00,38.51,0.077,0.007,0.909,0.977,0.465,0.419
A001,2025-10-30 05:27:00,38.41,0.011,0.002,0.919,0.886,0.433,0.166
A001,2025-10-30 05:28:00,38.52,0.021,0.023,0.877,0.592,0.582,0.366
A001,2025-10-30 05:29:00,38.43,-0.013,0.016,0.898,0.936,0.374,0.515
A001,2025-10-30 05:30:00,38.54,0.054,0.02,0.953,0.713,0.2,0.656
A001,2025-10-30 05:31:00,38.54,0.061,0.02,0.898,0.908,0.457,0.466
A001,2025-10-30 05:32:00,38.46,0.045,0.011,0.874,0.875,0.695,0.278
A001,2025-10-30 05:33:00,38.5,0.09,0.023,0.866,0.511,0.385,0.623
A001,2025-10-30 05:34:00,38.54,0.06,0.031,0.916,0.76,0.225,0.397
A001,2025-10-30 05:35:00,38.54,0.002,0.036,0.924,0.679,0.46,0.478
A001,2025-10-30 05:36:00,38.56,0.058,0.017,0.846,0.73,0.432,0.494
A001,2025-10-30 05:37:00,38.46,-0.026,0.02,0.915,0.9,0.402,0.401
A001,2025-10-30 05:38:00,38.57,0.026,0.016,0.865,0.644,0.534,0.515
A001,2025-10-30 05:39:00,38.47,0.072,0.017,0.91,0.679,0.581,0.329
A001,2025-10-30 05:40:00,38.53,-0.005,0.011,0.921,1.053,0.473,0.784
A001,2025-10-30 05:41:00,38.52,0.113,0.001,0.951,0.744,0.187,0.536
A001,2025-10-30 05:42:00,38.48,0.051,0.025,0.932,0.822,0.465,0.378
A001,2025-10-30 05:43:00,38.44,0.016,0.008,0.909,0.795,0.385,0.405
A001,2025-10-30 05:44:00,38.54,0.034,-0.025,0.867,0.809,0.012,0.601
A001,2025-10-30 05:45:00,38.54,0.026,-0.012,0.887,0.562,0.794,0.506
A001,2025-10-30 05:46:00,38.54,0.005,-0.001,0.885,0.854,0.234,0.576
A001,2025-10-30 05:47:00,38.48,0.088,0.007,0.91,0.693,0.505,0.433
A001,2025-10-30 05:48:00,38.56,0.081,-0.0,0.89,1.036,0.327,0.413
A001,2025-10-30 05:49:00,38.48,0.024,-0.017,0.875,0.965,0.591,0.535
A001,2025-10-30 05:50:00,38.41,-0.048,0.028,0.917,0.897,0.258,0.532
A001,2025-10-30 05:51:00,38.47,0.048,0.03,0.927,0.716,0.519,0.373
A001,2025-10-30 05:52:00,38.45,0.098,0.034,0.926,0.862,0.684,0.622
A001,2025-10-30 05:53:00,38.57,0.032,0.074,0.876,0.592,0.172,0.576
A001,2025-10-30 05:54:00,38.47,0.071,0.041,0.937,0.839,0.419,0.486
A001,2025-10-30 05:55:00,38.52,0.037,0.041,0.884,0.789,0.293,0.228
A001,2025-10-30 05:56:00,38.48,0.05,0.01,0.899,1.064,0.323,0.563
A001,2025-10-30 05:57:00,38.48,0.052,-0.009,0.917,0.709,0.358,0.463
A001,2025-10-30 05:58:00,38.63,0.102,0.002,0.884,0.694,0.685,0.384
A001,2025-10-30 05:59:00,38.53,0.013,0.044,0.905,0.711,0.532,0.151
A001,2025-10-30 06:00:00,38.74,0.317,0.264,0.893,1.797,1.414,1.083
A001,2025-10-30 06:01:00,38.73,0.836,0.321,0.804,2.396,1.499,1.22
A001,2025-10-30 06:02:00,38.73,0.128,0.36,0.908,1.902,1.655,1.113
A001,2025-10-30 06:03:00,38.66,0.193,0.421,0.961,1.165,1.354,1.222
A001,2025-10-30 06:04:00,38.75,0.578,0.285,0.941,1.42,1.322,0.691
A001,2025-10-30 06:05:00,38.76,0.768,0.155,0.942,1.864,1.044,1.299
A001,2025-10-30 06:06:00,38.74,0.82,0.256,1.001,1.397,2.1,1.415
A001,2025-10-30 06:07:00,38.75,0.875,0.358,0.9,1.319,1.065,0.951
A001,2025-10-30 06:08:00,38.62,0.327,0.303,0.975,2.438,1.304,1.481
A001,2025-10-30 06:09:00,38.74,0.49,0.453,1.005,1.663,0.76,0.915
A001,2025-10-30 06:10:00,38.73,0.715,0.415,0.815,2.015,1.119,1.05
A001,2025-10-30 06:11:00,38.79,0.824,0.367,0.963,1.159,1.822,0.923
A001,2025-10-30 06:12:00,38.78,0.338,0.042,0.93,1.734,1.019,1.047
A001,2025-10-30 06:13:00,38.69,1.128,0.002,1.004,2.122,1.362,1.409
A001,2025-10-30 06:14:00,38.62,0.702,0.29,0.922,1.258,1.15,0.838
A001,2025-10-30 06:15:00,38.67,0.987,0.133,0.93,0.853,1.283,1.378
A001,2025-10-30 06:16:00,38.81,0.573,0.125,1.005,2.269,0.851,1.414
A001,2025-10-30 06:17:00,38.67,0.49,0.295,0.894,1.83,0.77,0.517
A001,2025-10-30 06:18:00,38.53,1.08,0.381,0.905,2.528,1.088,0.636
A001,2025-10-30 06:19:00,38.68,0.852,0.111,1.019,1.572,1.833,1.217
A001,2025-10-30 06:20:00,38.68,0.936,0.14,0.849,1.193,0.968,1.016
A001,2025-10-30 06:21:00,38.75,0.338,0.164,0.972,1.75,1.16,0.848
A001,2025-10-30 06:22:00,38.61,0.65,0.464,0.984,2.307,1.228,1.037
A001,2025-10-30 06:23:00,38.77,0.978,0.251,0.996,1.268,1.006,0.486
A001,2025-10-30 06:24:00,38.54,0.963,0.244,0.854,1.34,1.11,1.176
A001,2025-10-30 06:25:00,38.71,0.475,0.403,0.902,1.944,1.365,0.94
A001,2025-10-30 06:26:00,38.66,0.568,0.356,0.904,1.79,1.149,0.691
A001,2025-10-30 06:27:00,38.64,0.69,0.026,0.887,1.49,1.669,0.778
A001,2025-10-30 06:28:00,38.69,0.822,0.079,0.944,1.413,1.07,1.094
A001,2025-10-30 06:29:00,38.76,0.561,0.297,0.872,0.605,1.686,0.555
A001,2025-10-30 06:30:00,38.75,0.36,0.069,1.022,2.092,1.155,0.867
A001,2025-10-30 06:31:00,38.81,0.676,0.369,0.949,1.195,0.444,1.083
A001,2025-10-30 06:32:00,38.58,0.962,0.319,0.853,1.77,1.348,0.712
A001,2025-10-30 06:33:00,38.77,0.588,0.161,0.947,0.795,1.225,0.781
A001,2025-10-30 06:34:00,38.83,0.995,0.312,1.026,1.752,1.361,1.257
A001,2025-10-30 06:35:00,38.58,0.069,0.4,0.837,1.097,0.81,0.685
A001,2025-10-30 06:36:00,38.72,0.868,0.444,1.125,1.55,1.122,1.249
A001,2025-10-30 06:37:00,38.76,0.338,0.198,1.019,1.502,1.264,1.168
A001,2025-10-30 06:38:00,38.63,0.146,0.3,0.915,2.091,1.725,0.872
A001,2025-10-30 06:39:00,38.77,1.021,0.517,0.962,2.093,1.457,1.156
A001,2025-10-30 06:40:00,38.68,0.015,0.345,0.816,1.545,1.516,1.229
A001,2025-10-30 06:41:00,38.76,0.695,0.303,0.795,1.526,1.007,1.112
A001,2025-10-30 06:42:00,38.69,1.0,0.171,1.129,2.629,1.127,0.774
A001,2025-10-30 06:43:00,38.69,0.623,0.459,0.853,0.459,1.363,1.318
A001,2025-10-30 06:44:00,38.74,0.54,0.302,0.965,1.779,1.153,0.412
A001,2025-10-30 06:45:00,38.72,0.333,0.212,0.801,1.74,0.763,1.4
A001,2025-10-30 06:46:00,38.74,0.338,0.071,0.966,1.105,1.054,0.972
A001,2025-10-30 06:47:00,38.76,0.673,0.258,0.973,2.002,1.47,1.092
A001,2025-10-30 06:48:00,38.64,0.451,0.2,1.052,1.375,1.257,0.9
A001,2025-10-30 06:49:00,38.61,0.673,0.385,0.916,2.053,1.016,1.614
A001,2025-10-30 06:50:00,38.7,0.174,0.187,1.025,1.464,1.306,1.096
A001,2025-10-30 06:51:00,38.68,0.476,0.27,1.012,1.765,1.358,1.133
A001,2025-10-30 06:52:00,38.75,0.62,0.256,0.872,0.583,0.792,0.664
A001,2025-10-30 06:53:00,38.58,0.479,0.16,0.942,0.96,1.221,0.953
A001,2025-10-30 06:54:00,38.76,0.552,0.647,1.088,0.504,1.348,1.457
A001,2025-10-30 06:55:00,38.63,0.493,0.194,0.92,1.393,0.049,0.701
A001,2025-10-30 06:56:00,38.72,0.825,0.182,0.925,2.009,1.267,1.034
A001,2025-10-30 06:57:00,38.67,0.464,0.063,0.97,1.458,1.187,1.343
A001,2025-10-30 06:58:00,38.71,0.399,0.069,0.818,1.438,1.725,1.265
A001,2025-10-30 06:59:00,38.79,0.355,-0.041,1.111,1.464,1.664,0.916
A001,2025-10-30 07:00:00,38.76,0.476,0.143,0.908,1.432,1.305,1.424
A001,2025-10-30 07:01:00,38.75,0.405,0.15,0.855,1.623,1.386,0.921
A001,2025-10-30 07:02:00,38.72,0.711,0.131,0.939,1.393,1.268,1.393
A001,2025-10-30 07:03:00,38.6,0.494,0.368,0.873,1.187,1.371,1.717
A001,2025-10-30 07:04:00,38.68,0.504,0.23,1.011,1.401,1.296,1.07
A001,2025-10-30 07:05:00,38.72,0.553,0.094,1.009,1.99,0.899,1.086
A001,2025-10-30 07:06:00,38.82,0.864,0.232,0.921,2.742,1.34,1.126
A001,2025-10-30 07:07:00,38.77,0.814,0.211,0.752,1.153,1.259,1.137
A001,2025-10-30 07:08:00,38.77,0.86,0.047,0.989,1.356,0.588,1.355
A001,2025-10-30 07:09:00,38.64,0.581,0.171,1.046,1.753,0.628,1.666
A001,2025-10-30 07:10:00,38.77,0.833,0.12,0.907,1.843,1.51,1.029
A001,2025-10-30 07:11:00,38.66,0.755,0.228,0.904,2.577,1.816,1.198
A001,2025-10-30 07:12:00,38.62,0.73,0.231,0.794,0.803,0.6,1.701
A001,2025-10-30 07:13:00,38.56,0.957,0.009,0.928,1.935,1.997,1.171
A001,2025-10-30 07:14:00,38.77,0.493,0.388,0.892,1.758,0.952,0.763
A001,2025-10-30 07:15:00,38.8,0.442,0.48,0.913,1.065,0.664,1.042
A001,2025-10-30 07:16:00,38.79,0.385,0.106,0.932,1.533,0.98,1.042
A001,2025-10-30 07:17:00,38.61,0.306,0.221,0.953,1.283,1.368,1.137
A001,2025-10-30 07:18:00,38.78,0.663,0.11,0.979,2.114,0.953,0.748
A001,2025-10-30 07:19:00,38.7,0.751,0.283,0.897,1.595,1.003,1.201
A001,2025-10-30 07:20:00,38.67,0.383,0.256,0.979,2.122,1.076,1.076
A001,2025-10-30 07:21:00,38.69,0.764,0.24,1.065,1.656,0.917,0.657
A001,2025-10-30 07:22:00,38.8,0.852,0.377,1.062,2.005,1.218,1.109
A001,2025-10-30 07:23:00,38.57,0.596,0.469,1.006,1.073,1.794,1.49
A001,2025-10-30 07:24:00,38.79,0.621,0.114,1.037,1.446,0.872,0.72
A001,2025-10-30 07:25:00,38.62,0.693,0.195,1.076,1.612,0.731,1.305
A001,2025-10-30 07:26:00,38.8,0.73,0.243,1.021,1.854,1.335,1.429
A001,2025-10-30 07:27:00,38.59,0.613,0.213,0.787,1.614,1.404,0.961
A001,2025-10-30 07:28:00,38.81,0.35,0.341,0.772,2.267,1.527,1.523
A001,2025-10-30 07:29:00,38.73,0.64,0.319,1.056,2.002,1.63,1.045
A001,2025-10-30 07:30:00,38.92,0.601,0.301,0.816,0.603,1.395,0.734
A001,2025-10-30 07:31:00,38.67,1.26,0.144,0.917,1.711,1.281,1.496
A001,2025-10-30 07:32:00,38.72,0.61,0.247,0.833,1.566,1.1,0.943
A001,2025-10-30 07:33:00,38.78,0.458,0.209,0.831,1.951,1.092,1.182
A001,2025-10-30 07:34:00,38.84,0.492,0.353,0.894,1.17,0.861,1.333
A001,2025-10-30 07:35:00,38.51,0.967,0.23,0.885,1.811,1.142,1.086
A001,2025-10-30 07:36:00,38.7,0.776,0.09,0.727,1.35,0.715,0.809
A001,2025-10-30 07:37:00,38.56,0.687,-0.03,1.013,2.11,1.193,0.821
A001,2025-10-30 07:38:00,38.66,0.344,0.221,0.963,1.389,1.296,1.081
A001,2025-10-30 07:39:00,38.78,0.735,0.413,0.99,1.289,1.322,0.817
A001,2025-10-30 07:40:00,38.54,0.888,0.26,1.074,0.875,1.259,0.573
A001,2025-10-30 07:41:00,38.75,0.627,0.4,0.916,1.134,1.071,1.591
A001,2025-10-30 07:42:00,38.72,0.318,0.122,0.786,2.012,0.701,1.012
A001,2025-10-30 07:43:00,38.71,0.787,0.44,0.956,1.575,1.69,0.961
A001,2025-10-30 07:44:00,38.78,0.973,0.299,0.975,1.817,0.957,1.181
A001,2025-10-30 07:45:00,38.62,0.704,0.347,0.954,1.961,1.182,0.899
A001,2025-10-30 07:46:00,38.76,0.631,0.378,0.938,2.064,1.917,1.078
A001,2025-10-30 07:47:00,38.9,0.578,0.323,0.87,1.166,0.856,1.169
A001,2025-10-30 07:48:00,38.64,-0.016,0.245,0.989,1.868,1.365,1.207
A001,2025-10-30 07:49:00,38.58,0.973,0.317,0.963,1.922,1.039,0.517
A001,2025-10-30 07:50:00,38.77,0.44,0.279,0.919,1.321,1.415,1.187
A001,2025-10-30 07:51:00,38.79,1.021,0.291,0.883,1.849,1.844,1.29
A001,2025-10-30 07:52:00,38.75,0.508,0.093,0.945,1.296,1.127,1.073
A001,2025-10-30 07:53:00,38.74,0.205,0.17,0.903,1.296,1.838,0.521
A001,2025-10-30 07:54:00,38.74,0.58,0.118,1.007,1.66,1.199,1.251
A001,2025-10-30 07:55:00,38.72,0.318,0.217,0.958,1.887,1.346,1.162
A001,2025-10-30 07:56:00,38.81,0.714,0.105,0.881,2.545,1.617,1.297
A001,2025-10-30 07:57:00,38.76,1.083,0.089,1.039,1.016,1.912,1.568
A001,2025-10-30 07:58:00,38.61,1.086,0.216,0.759,1.777,1.307,0.826
A001,2025-10-30 07:59:00,38.54,0.911,0.377,0.948,2.356,0.646,1.164
A001,2025-10-30 08:00:00,38.67,0.89,0.157,0.849,1.43,0.58,0.977
A001,2025-10-30 08:01:00,38.68,0.424,0.307,0.871,1.011,0.847,0.883
A001,2025-10-30 08:02:00,38.59,0.4,0.201,0.93,1.525,1.283,0.855
A001,2025-10-30 08:03:00,38.56,0.62,0.404,0.968,2.067,1.403,1.013
A001,2025-10-30 08:04:00,38.69,0.671,0.378,0.981,1.759,1.068,0.93
A001,2025-10-30 08:05:00,38.71,0.349,0.076,1.067,1.679,0.614,0.914
A001,2025-10-30 08:06:00,38.7,0.631,0.241,0.965,1.647,0.341,1.31
A001,2025-10-30 08:07:00,38.7,0.69,0.398,0.879,0.868,1.469,0.736
A001,2025-10-30 08:08:00,38.77,0.41,0.165,0.933,1.447,1.245,1.439
A001,2025-10-30 08:09:00,38.64,0.766,0.079,0.966,1.839,1.291,1.302
A001,2025-10-30 08:10:00,38.85,0.756,0.304,1.029,1.498,1.272,0.545
A001,2025-10-30 08:11:00,38.82,-0.022,0.265,0.82,1.049,1.412,0.906
A001,2025-10-30 08:12:00,38.81,0.719,0.365,0.976,1.472,1.465,0.616
A001,2025-10-30 08:13:00,38.7,1.075,0.27,1.005,1.691,1.377,1.008
A001,2025-10-30 08:14:00,38.81,0.631,0.234,0.929,1.915,1.268,0.988
A001,2025-10-30 08:15:00,38.71,0.387,0.178,1.053,1.637,0.742,1.05
A001,2025-10-30 08:16:00,38.68,0.424,0.313,0.924,0.791,1.573,1.208
A001,2025-10-30 08:17:00,38.65,0.615,0.383,1.015,1.003,1.482,0.784
A001,2025-10-30 08:18:00,38.63,0.737,0.372,1.025,1.715,0.995,0.928
A001,2025-10-30 08:19:00,38.59,0.453,0.303,0.963,1.503,0.906,1.36
A001,2025-10-30 08:20:00,38.65,0.714,0.266,1.048,1.31,1.127,1.039
A001,2025-10-30 08:21:00,38.67,0.197,0.139,0.885,2.161,1.169,1.041
A001,2025-10-30 08:22:00,38.66,0.395,0.265,0.821,2.301,1.956,1.08
A001,2025-10-30 08:23:00,38.62,0.459,0.3,0.998,1.292,1.424,1.211
A001,2025-10-30 08:24:00,38.63,0.861,0.363,0.717,1.057,1.219,1.479
A001,2025-10-30 08:25:00,38.77,0.893,0.232,0.939,1.299,1.709,1.144
A001,2025-10-30 08:26:00,38.79,0.633,0.222,1.008,1.307,1.746,0.856
A001,2025-10-30 08:27:00,38.77,0.481,0.187,0.917,1.3,1.596,1.501
A001,2025-10-30 08:28:00,38.83,0.956,0.42,0.867,2.222,1.441,0.992
A001,2025-10-30 08:29:00,38.79,0.796,0.118,0.926,0.853,1.039,0.834
A001,2025-10-30 08:30:00,38.7,0.467,0.182,0.995,1.184,1.13,1.074
A001,2025-10-30 08:31:00,38.68,0.641,0.308,0.868,1.537,0.789,0.929
A001,2025-10-30 08:32:00,38.78,0.437,0.225,1.004,1.564,0.958,1.019
A001,2025-10-30 08:33:00,38.77,0.308,0.215,0.748,1.465,1.474,0.638
A001,2025-10-30 08:34:00,38.58,0.759,0.214,1.004,1.601,0.965,1.546
A001,2025-10-30 08:35:00,38.74,0.918,0.436,1.015,1.404,1.241,0.779
A001,2025-10-30 08:36:00,38.68,0.6,0.099,0.984,1.666,0.521,1.044
A001,2025-10-30 08:37:00,38.77,0.621,0.154,0.976,1.788,1.25,1.297
A001,2025-10-30 08:38:00,38.76,0.543,0.332,0.929,1.451,1.148,1.433
A001,2025-10-30 08:39:00,38.65,0.488,0.294,0.851,2.446,1.46,1.178
A001,2025-10-30 08:40:00,38.76,0.713,-0.022,0.86,1.703,2.173,1.134
A001,2025-10-30 08:41:00,38.69,0.888,0.402,1.139,1.834,1.127,1.582
A001,2025-10-30 08:42:00,38.67,0.133,0.235,0.885,1.394,1.433,1.005
A001,2025-10-30 08:43:00,38.64,0.812,0.317,0.942,0.858,1.046,1.017
A001,2025-10-30 08:44:00,38.59,0.347,0.301,0.877,1.666,1.282,1.061
A001,2025-10-30 08:45:00,38.73,0.502,0.363,0.817,2.115,1.529,1.358
A001,2025-10-30 08:46:00,38.65,0.653,0.207,0.898,1.794,1.484,1.088
A001,2025-10-30 08:47:00,38.66,0.499,0.206,0.933,2.084,0.682,1.061
A001,2025-10-30 08:48:00,38.59,0.915,0.197,0.967,1.676,1.13,0.665
A001,2025-10-30 08:49:00,38.73,0.744,0.217,0.959,2.006,1.617,0.75
A001,2025-10-30 08:50:00,38.85,0.692,0.373,0.995,1.755,1.041,1.011
A001,2025-10-30 08:51:00,38.59,0.342,0.289,0.976,2.2,1.49,0.961
A001,2025-10-30 08:52:00,38.76,1.271,0.398,1.048,1.643,1.612,1.17
A001,2025-10-30 08:53:00,38.64,0.434,0.038,0.864,1.671,1.43,0.801
A001,2025-10-30 08:54:00,38.66,0.33,0.43,0.927,1.378,1.17,1.055
A001,2025-10-30 08:55:00,38.62,0.67,0.346,0.87,2.016,0.727,0.916
A001,2025-10-30 08:56:00,38.55,0.615,0.363,0.98,1.471,1.217,1.114
A001,2025-10-30 08:57:00,38.57,0.994,0.373,0.877,1.729,1.12,1.648
A001,2025-10-30 08:58:00,38.6,0.712,0.182,0.956,1.626,1.369,1.16
A001,2025-10-30 08:59:00,38.77,0.599,0.132,0.9,1.475,1.327,1.128
A001,2025-10-30 09:00:00,38.79,0.776,0.412,1.031,1.894,0.128,0.656
A001,2025-10-30 09:01:00,38.63,0.508,0.372,0.967,2.137,1.487,1.158
A001,2025-10-30 09:02:00,38.77,0.443,0.355,0.974,1.525,1.258,1.083
A001,2025-10-30 09:03:00,38.56,0.664,0.318,1.031,1.577,1.076,1.162
A001,2025-10-30 09:04:00,38.71,0.381,0.2,0.959,1.628,1.038,0.533
